"di_id","wb_wdi_country_code","year","value"
"AZ","AZE",1994,3311239404.76759
"AZ","AZE",1993,3971446603.10278
"AZ","AZE",1992,
"AZ","AZE",1972,
"AZ","AZE",2017,38988345456.6581
"AZ","AZE",1995,3038925684.65042
"AZ","AZE",1969,
"AZ","AZE",1968,
"AZ","AZE",1967,
"AZ","AZE",1966,
"AZ","AZE",1965,
"AZ","AZE",1964,
"AZ","AZE",1963,
"AZ","AZE",1962,
"AZ","AZE",1961,
"AZ","AZE",1973,
"AZ","AZE",2012,65739180244.3992
"AZ","AZE",1960,
"AZ","AZE",1983,
"AZ","AZE",1982,
"AZ","AZE",1981,
"AZ","AZE",1980,
"AZ","AZE",1979,
"AZ","AZE",1978,
"AZ","AZE",1977,
"AZ","AZE",1976,
"AZ","AZE",1975,
"AZ","AZE",1974,
"AZ","AZE",2013,70475971956.6603
"AZ","AZE",2016,35375307388.6069
"AZ","AZE",2015,51046554753.0744
"AZ","AZE",2014,73087339028.433
"AZ","AZE",1996,3114548942.10649
"AZ","AZE",1971,
"AZ","AZE",1970,
"AZ","AZE",2007,27970800839.0631
"AZ","AZE",2006,18302345198.1195
"AZ","AZE",1991,
"AZ","AZE",1990,
"AZ","AZE",1989,
"AZ","AZE",1988,
"AZ","AZE",1987,
"AZ","AZE",1986,
"AZ","AZE",1985,
"AZ","AZE",1984,
"AZ","AZE",2010,49734894730.2853
"AZ","AZE",2009,41022020403.0854
"AZ","AZE",2008,43832156767.2833
"AZ","AZE",2003,6834029321.93036
"AZ","AZE",2002,5851100596.58506
"AZ","AZE",2005,11599198011.4237
"AZ","AZE",2004,7979951358.50208
"AZ","AZE",1999,4536302414.95085
"AZ","AZE",2011,61439913891.3512
"AZ","AZE",2001,5371631053.36626
"AZ","AZE",2000,4987423599.37899
"AZ","AZE",1997,3953251191.96989
"AZ","AZE",1998,4433134258.26923
"BI","BDI",1990,1117211760.24058
"BI","BDI",1989,1096300427.94028
"BI","BDI",1988,1059467929.76958
"BI","BDI",1987,1103051149.23924
"BI","BDI",1983,1073595481.44164
"BI","BDI",1995,988018268.88428
"BI","BDI",1994,913654989.848138
"BI","BDI",1984,974118285.857489
"BI","BDI",1981,966146666.666667
"BI","BDI",1980,921813333.333333
"BI","BDI",1979,772336666.666667
"BI","BDI",1978,595765555.555556
"BI","BDI",1977,537186666.666667
"BI","BDI",1976,437150144.927536
"BI","BDI",1986,1181080844.35491
"BI","BDI",1985,1131604109.70254
"BI","BDI",2011,2338152125.41571
"BI","BDI",2010,2014764469.06325
"BI","BDI",2009,1722781489.23344
"BI","BDI",2008,1607334331.51375
"BI","BDI",1993,928818579.07743
"BI","BDI",1992,1069379682.96184
"BI","BDI",1991,1156153553.73995
"BI","BDI",2017,3473606177.28181
"BI","BDI",2016,3006197953.40264
"BI","BDI",2015,3065009668.71126
"BI","BDI",2014,3086865568.96106
"BI","BDI",2013,2716290160.54882
"BI","BDI",2012,2463262534.30143
"BI","BDI",1960,193892004
"BI","BDI",1973,295982555.669407
"BI","BDI",1972,235406857.142857
"BI","BDI",1971,243766857.142857
"BI","BDI",1970,235283428.571429
"BI","BDI",1982,1005555555.55556
"BI","BDI",1997,960396267.915425
"BI","BDI",1996,855125492.320396
"BI","BDI",2004,887956197.145997
"BI","BDI",1965,157479111.111111
"BI","BDI",1964,257986008
"BI","BDI",1963,230278000
"BI","BDI",1975,412341587.301587
"BI","BDI",1974,336273015.873016
"BI","BDI",1969,178171428.571429
"BI","BDI",1968,169680000
"BI","BDI",1967,166971428.571429
"BI","BDI",2000,884786065.883136
"BI","BDI",2007,1350178278.30838
"BI","BDI",2006,1264380597.39652
"BI","BDI",2005,1099557233.63991
"BI","BDI",1966,156048000
"BI","BDI",1961,200819998
"BI","BDI",2003,766758030.795662
"BI","BDI",2002,811709078.127599
"BI","BDI",1962,211212002
"BI","BDI",1999,796772713.286961
"BI","BDI",1998,885470806.166974
"BI","BDI",2001,864477157.825014
"BE","BEL",2015,454163733097.701
"BE","BEL",2016,470934465749.408
"BE","BEL",1986,120841091836.735
"BE","BEL",2017,496812464764.283
"BE","BEL",2012,510067793541.344
"BE","BEL",1985,86786182145.5262
"BE","BEL",1997,260846301308.074
"BE","BEL",2013,529513693269.788
"BE","BEL",2004,375796001986.591
"BE","BEL",2011,532322518086.531
"BE","BEL",2014,534821363071.385
"BE","BEL",2005,391909588359.657
"BE","BEL",2000,243885664271.236
"BE","BEL",1999,266098018325.165
"BE","BEL",1998,266762280506.779
"BE","BEL",2010,498788978070.103
"BE","BEL",2009,485149902750.764
"BE","BEL",2008,530784385528.05
"BE","BEL",2007,478011771147.002
"BE","BEL",2006,415372977041.776
"BE","BEL",1979,117242099201.981
"BE","BEL",1978,102525886512.105
"BE","BEL",2003,324886568848.758
"BE","BEL",2002,263164784490.871
"BE","BEL",2001,242158478747.204
