"","di_id","region_name","aid_type","year","value"
"295","nordic-dev-fund","south-central-asia","bilateral",2016,8870000
"296","CA","unspecified","bilateral",2016,485760000
"297","CA","north-of-sahara","bilateral",2016,25886061.3748041
"298","CA","south-of-sahara","bilateral",2016,955743938.625196
"299","CA","north-central-america","bilateral",2016,230102588.861433
"300","CA","south-america","bilateral",2016,151347411.138567
"301","CA","far-east-asia","bilateral",2016,105050266.059042
"302","CA","south-central-asia","bilateral",2016,298109367.690916
"303","CA","europe","bilateral",2016,85290000
"304","CA","middle-east","bilateral",2016,363910366.250042
"305","CA","oceania","bilateral",2016,2730000
"306","US","unspecified","bilateral",2016,9295100000
"307","US","north-of-sahara","bilateral",2016,250400000
"308","US","south-of-sahara","bilateral",2016,9942990000
"309","US","north-central-america","bilateral",2016,1402183514.41181
"310","US","south-america","bilateral",2016,536616485.588187
"311","US","far-east-asia","bilateral",2016,1039965046.51656
"312","US","south-central-asia","bilateral",2016,3112330259.578
"313","US","europe","bilateral",2016,540470000
"314","US","middle-east","bilateral",2016,3052564693.90544
"315","US","oceania","bilateral",2016,66140000
"316","IL","unspecified","bilateral",2016,106950000
"317","IL","north-of-sahara","bilateral",2016,130000
"318","IL","south-of-sahara","bilateral",2016,5090000
"319","IL","north-central-america","bilateral",2016,1980000
"320","IL","south-america","bilateral",2016,6550000
"321","IL","far-east-asia","bilateral",2016,2570000
"322","IL","south-central-asia","bilateral",2016,7140000
"323","IL","europe","bilateral",2016,12360000
"324","IL","middle-east","bilateral",2016,112510000
"325","IL","oceania","bilateral",2016,420000
"326","KW","unspecified","bilateral",2016,2550000
"327","KW","north-of-sahara","bilateral",2016,382950000
"328","KW","south-of-sahara","bilateral",2016,205330000
"329","KW","north-central-america","bilateral",2016,25390000
"330","KW","south-america","bilateral",2016,5240000
"331","KW","far-east-asia","bilateral",2016,53400000
"332","KW","south-central-asia","bilateral",2016,115950000
"333","KW","europe","bilateral",2016,12160000
"334","KW","middle-east","bilateral",2016,550530000
"335","KW","oceania","bilateral",2016,620000
"336","AE","unspecified","bilateral",2016,146350000
"337","AE","north-of-sahara","bilateral",2016,2314593430.83995
"338","AE","south-of-sahara","bilateral",2016,198266569.16005
"339","AE","north-central-america","bilateral",2016,920000
"340","AE","south-america","bilateral",2016,230000
"341","AE","far-east-asia","bilateral",2016,4350000
"342","AE","south-central-asia","bilateral",2016,135610000
"343","AE","europe","bilateral",2016,221500000
"344","AE","middle-east","bilateral",2016,1394980000
"345","AE","oceania","bilateral",2016,3590000
"346","AZ","unspecified","bilateral",2016,3720000
"347","AZ","south-of-sahara","bilateral",2016,170000
"348","AZ","south-central-asia","bilateral",2016,250000
"349","KZ","unspecified","bilateral",2016,11710000
"350","KZ","south-central-asia","bilateral",2016,1700000
"351","JP","unspecified","bilateral",2016,1966440000
"352","JP","north-of-sahara","bilateral",2016,502020867.69749
"353","JP","south-of-sahara","bilateral",2016,1416819132.30251
"354","JP","north-central-america","bilateral",2016,201196222.314677
"355","JP","south-america","bilateral",2016,223643777.685323
"356","JP","far-east-asia","bilateral",2016,3241172330.21767
"357","JP","south-central-asia","bilateral",2016,4086148513.41747
"358","JP","europe","bilateral",2016,515890000
"359","JP","middle-east","bilateral",2016,1105349156.36486
"360","JP","oceania","bilateral",2016,180750000
"361","TW","unspecified","bilateral",2016,294670000
"362","TW","north-central-america","bilateral",2016,2770000
"363","TW","oceania","bilateral",2016,8570000
"364","KR","unspecified","bilateral",2016,236210000
"365","KR","north-of-sahara","bilateral",2016,17920272.6898788
"366","KR","south-of-sahara","bilateral",2016,403129727.310121
"367","KR","north-central-america","bilateral",2016,65494178.7941788
"368","KR","south-america","bilateral",2016,77475821.2058212
"369","KR","far-east-asia","bilateral",2016,477298412.180393
"370","KR","south-central-asia","bilateral",2016,258684889.117307
"371","KR","europe","bilateral",2016,6020000
"372","KR","middle-east","bilateral",2016,71356698.7022999
"373","KR","oceania","bilateral",2016,8850000
"374","TH","unspecified","bilateral",2016,910000
"375","TH","north-of-sahara","bilateral",2016,1e+05
"376","TH","south-of-sahara","bilateral",2016,1710000
"377","TH","north-central-america","bilateral",2016,350000
"378","TH","south-america","bilateral",2016,280000
"379","TH","far-east-asia","bilateral",2016,38681129.081477
"380","TH","south-central-asia","bilateral",2016,26968394.8733598
"381","TH","europe","bilateral",2016,10000
"382","TH","middle-east","bilateral",2016,130476.045163259
"383","TH","oceania","bilateral",2016,6e+05
"384","AU","unspecified","bilateral",2016,629620000
"385","AU","north-of-sahara","bilateral",2016,601720.990873533
"386","AU","south-of-sahara","bilateral",2016,76318279.0091265
"387","AU","north-central-america","bilateral",2016,5320000
"388","AU","south-america","bilateral",2016,2420000
"389","AU","far-east-asia","bilateral",2016,547093096.439151
"390","AU","south-central-asia","bilateral",2016,225814154.778578
"391","AU","europe","bilateral",2016,880000
"392","AU","middle-east","bilateral",2016,70542748.7822714
"393","AU","oceania","bilateral",2016,735040000
"394","unep","south-of-sahara","bilateral",2016,73400000
"395","unep","north-central-america","bilateral",2016,1200000
"396","unep","south-america","bilateral",2016,90000
"397","gef","unspecified","bilateral",2016,125620000
"398","gef","north-of-sahara","bilateral",2016,23360727.3073445
"399","gef","south-of-sahara","bilateral",2016,233999272.692656
"400","gef","north-central-america","bilateral",2016,65873711.927982
"401","gef","south-america","bilateral",2016,96556288.072018
"402","gef","far-east-asia","bilateral",2016,129176045.033594
"403","gef","south-central-asia","bilateral",2016,103258770.201562
"404","gef","europe","bilateral",2016,35700000
"405","gef","middle-east","bilateral",2016,11855184.7648447
"406","gef","oceania","bilateral",2016,25380000
"407","NZ","unspecified","bilateral",2016,46100000
"408","NZ","north-of-sahara","bilateral",2016,88063.6604774536
"409","NZ","south-of-sahara","bilateral",2016,8211936.33952255
"410","NZ","north-central-america","bilateral",2016,2210000
"411","NZ","south-america","bilateral",2016,3610000
"412","NZ","far-east-asia","bilateral",2016,50427073.0586614
