"di_id","donor_code","region_name","aid_type","year","value"
"JP",701,"europe","bilateral",2016,515890000
"JP",701,"middle-east","bilateral",2016,1105349156.36486
"JP",701,"oceania","bilateral",2016,180750000
"TW",732,"unspecified","bilateral",2016,294670000
"TW",732,"north-central-america","bilateral",2016,2770000
"TW",732,"oceania","bilateral",2016,8570000
"KR",742,"unspecified","bilateral",2016,236210000
"KR",742,"north-of-sahara","bilateral",2016,17920272.6898788
"KR",742,"south-of-sahara","bilateral",2016,403129727.310121
"KR",742,"north-central-america","bilateral",2016,65494178.7941788
"KR",742,"south-america","bilateral",2016,77475821.2058212
"KR",742,"far-east-asia","bilateral",2016,477298412.180393
"KR",742,"south-central-asia","bilateral",2016,258684889.117307
"KR",742,"europe","bilateral",2016,6020000
"KR",742,"middle-east","bilateral",2016,71356698.7022999
"KR",742,"oceania","bilateral",2016,8850000
"TH",764,"unspecified","bilateral",2016,910000
"TH",764,"north-of-sahara","bilateral",2016,100000
"TH",764,"south-of-sahara","bilateral",2016,1710000
"TH",764,"north-central-america","bilateral",2016,350000
"TH",764,"south-america","bilateral",2016,280000
"TH",764,"far-east-asia","bilateral",2016,38681129.081477
"TH",764,"south-central-asia","bilateral",2016,26968394.8733598
"TH",764,"europe","bilateral",2016,10000
"TH",764,"middle-east","bilateral",2016,130476.045163259
"TH",764,"oceania","bilateral",2016,600000
"AU",801,"unspecified","bilateral",2016,629620000
"AU",801,"north-of-sahara","bilateral",2016,601720.990873533
"AU",801,"south-of-sahara","bilateral",2016,76318279.0091265
"AU",801,"north-central-america","bilateral",2016,5320000
"AU",801,"south-america","bilateral",2016,2420000
"AU",801,"far-east-asia","bilateral",2016,547093096.439151
"AU",801,"south-central-asia","bilateral",2016,225814154.778578
"AU",801,"europe","bilateral",2016,880000
"AU",801,"middle-east","bilateral",2016,70542748.7822714
"AU",801,"oceania","bilateral",2016,735040000
"unep",807,"south-of-sahara","bilateral",2016,73400000
"unep",807,"north-central-america","bilateral",2016,1200000
"unep",807,"south-america","bilateral",2016,90000
"gef",811,"unspecified","bilateral",2016,125620000
"gef",811,"north-of-sahara","bilateral",2016,23360727.3073445
"gef",811,"south-of-sahara","bilateral",2016,233999272.692656
"gef",811,"north-central-america","bilateral",2016,65873711.927982
"gef",811,"south-america","bilateral",2016,96556288.072018
"gef",811,"far-east-asia","bilateral",2016,129176045.033594
"gef",811,"south-central-asia","bilateral",2016,103258770.201562
"gef",811,"europe","bilateral",2016,35700000
"gef",811,"middle-east","bilateral",2016,11855184.7648447
"gef",811,"oceania","bilateral",2016,25380000
"NZ",820,"unspecified","bilateral",2016,46100000
"NZ",820,"north-of-sahara","bilateral",2016,88063.6604774536
"NZ",820,"south-of-sahara","bilateral",2016,8211936.33952255
"NZ",820,"north-central-america","bilateral",2016,2210000
"NZ",820,"south-america","bilateral",2016,3610000
"NZ",820,"far-east-asia","bilateral",2016,50427073.0586614
"NZ",820,"south-central-asia","bilateral",2016,14678302.9560423
"NZ",820,"europe","bilateral",2016,10000
"NZ",820,"middle-east","bilateral",2016,5154623.98529637
"NZ",820,"oceania","bilateral",2016,230290000
"ida",905,"south-of-sahara","bilateral",2016,6459150000
"ida",905,"north-central-america","bilateral",2016,153090000
"ida",905,"south-america","bilateral",2016,72840000
"ida",905,"far-east-asia","bilateral",2016,841220000
"ida",905,"south-central-asia","bilateral",2016,4428850000
"ida",905,"europe","bilateral",2016,110260000
"ida",905,"middle-east","bilateral",2016,93370000
"ida",905,"oceania","bilateral",2016,95280000
"cardb",906,"north-central-america","bilateral",2016,27000000
"cardb",906,"south-america","bilateral",2016,6780000
"idb-special-fund",912,"north-central-america","bilateral",2016,517310000
"idb-special-fund",912,"south-america","bilateral",2016,459780000
"afdb",913,"north-of-sahara","bilateral",2016,5135826.621853
"afdb",913,"south-of-sahara","bilateral",2016,155234173.378147
"afdf",914,"south-of-sahara","bilateral",2016,2131810000
"asdb-special-funds",916,"far-east-asia","bilateral",2016,712373397.641765
"asdb-special-funds",916,"south-central-asia","bilateral",2016,1924126602.35824
"asdb-special-funds",916,"oceania","bilateral",2016,107230000
"EU",918,"unspecified","bilateral",2016,1323830000
"EU",918,"north-of-sahara","bilateral",2016,1820817012.89134
"EU",918,"south-of-sahara","bilateral",2016,5000992987.10866
"EU",918,"north-central-america","bilateral",2016,642301539.614259
"EU",918,"south-america","bilateral",2016,528958460.385741
"EU",918,"far-east-asia","bilateral",2016,453943699.039926
"EU",918,"south-central-asia","bilateral",2016,1752527819.88077
"EU",918,"europe","bilateral",2016,5486960000
"EU",918,"middle-east","bilateral",2016,1545878481.0793
"EU",918,"oceania","bilateral",2016,71350000
"arab-fund-afesd",921,"unspecified","bilateral",2016,10050000
"arab-fund-afesd",921,"north-of-sahara","bilateral",2016,322680000
"arab-fund-afesd",921,"south-of-sahara","bilateral",2016,150640000
"arab-fund-afesd",921,"middle-east","bilateral",2016,75680000
"unpbf",923,"south-of-sahara","bilateral",2016,35850000
"unpbf",923,"north-central-america","bilateral",2016,340000
