di_id,region_name,aid_type,year,value,,,
IT,south-central-asia,multilateral,2016,366147965.5,,,
JP,south-central-asia,multilateral,2016,889242719.8,,,
KR,south-central-asia,multilateral,2016,171141003.2,,,
KW,south-central-asia,multilateral,2016,0,,,
KZ,south-central-asia,multilateral,2016,1365549.134,,,
LI,south-central-asia,multilateral,2016,840846.5596,,,
LT,south-central-asia,multilateral,2016,4135268.508,,,
LU,south-central-asia,multilateral,2016,18936968.66,,,
LV,south-central-asia,multilateral,2016,2857068.641,,,
MT,south-central-asia,multilateral,2016,981274.112,,,
NL,south-central-asia,multilateral,2016,361106810.2,,,
NO,south-central-asia,multilateral,2016,166204216.6,,,
NZ,south-central-asia,multilateral,2016,15376939.52,,,
PL,south-central-asia,multilateral,2016,57872855.52,,,
PT,south-central-asia,multilateral,2016,24522199.2,,,
RO,south-central-asia,multilateral,2016,14881292.42,,,
RU,south-central-asia,multilateral,2016,103165332.8,,,
SE,south-central-asia,multilateral,2016,269655603.7,,,
SI,south-central-asia,multilateral,2016,6061525.578,,,
SK,south-central-asia,multilateral,2016,7933871.933,,,
TH,south-central-asia,multilateral,2016,29283842.84,,,
TR,south-central-asia,multilateral,2016,63428548.22,,,
TW,south-central-asia,multilateral,2016,5560484.429,,,
US,south-central-asia,multilateral,2016,1116789167,,,
all-donors-total,south-central-asia,multilateral,2016,7935115506,,,
dac-countries-total,south-central-asia,multilateral,2016,7610188240,,,
dac-eu-members-and-ec-total,south-central-asia,multilateral,2016,0,,,
dac-eu-members-total,south-central-asia,multilateral,2016,0,,,
g7-countries-total,south-central-asia,multilateral,2016,0,,,
multilateral-total,south-central-asia,multilateral,2016,0,,,
non-dac-countries-total,south-central-asia,multilateral,2016,284661654.2,,,
AE,south-of-sahara,multilateral,2016,22052232.67,,,
AT,south-of-sahara,multilateral,2016,229610083.3,,,
AU,south-of-sahara,multilateral,2016,414657326.7,,,
AZ,south-of-sahara,multilateral,2016,0,,,
BE,south-of-sahara,multilateral,2016,273655344,,,
BG,south-of-sahara,multilateral,2016,12549069.41,,,
CA,south-of-sahara,multilateral,2016,623511297.7,,,
CH,south-of-sahara,multilateral,2016,359161445.7,,,
CZ,south-of-sahara,multilateral,2016,53592791.13,,,
DE,south-of-sahara,multilateral,2016,1810721042,,,
DK,south-of-sahara,multilateral,2016,254829258.4,,,
EE,south-of-sahara,multilateral,2016,7030045.099,,,
ES,south-of-sahara,multilateral,2016,548173809.9,,,
EU,south-of-sahara,multilateral,2016,173635968.1,,,
FI,south-of-sahara,multilateral,2016,136022396.3,,,
FR,south-of-sahara,multilateral,2016,1557231429,,,
GB,south-of-sahara,multilateral,2016,2828010396,,,
GR,south-of-sahara,multilateral,2016,58786587.32,,,
HR,south-of-sahara,multilateral,2016,10636903.15,,,
HU,south-of-sahara,multilateral,2016,40347344.2,,,
IE,south-of-sahara,multilateral,2016,121484629.6,,,
IL,south-of-sahara,multilateral,2016,31206174.8,,,
IS,south-of-sahara,multilateral,2016,4456424.094,,,
IT,south-of-sahara,multilateral,2016,828715184.3,,,
JP,south-of-sahara,multilateral,2016,1583151036,,,
KR,south-of-sahara,multilateral,2016,258883218.7,,,
KW,south-of-sahara,multilateral,2016,0,,,
KZ,south-of-sahara,multilateral,2016,3779281.217,,,
LI,south-of-sahara,multilateral,2016,3642310.121,,,
LT,south-of-sahara,multilateral,2016,11469799.57,,,
LU,south-of-sahara,multilateral,2016,40644104.06,,,
LV,south-of-sahara,multilateral,2016,7610169.814,,,
MT,south-of-sahara,multilateral,2016,2908682.412,,,
NL,south-of-sahara,multilateral,2016,716620170.3,,,
NO,south-of-sahara,multilateral,2016,422207574,,,
NZ,south-of-sahara,multilateral,2016,36487398.02,,,
PL,south-of-sahara,multilateral,2016,138586809.9,,,
PT,south-of-sahara,multilateral,2016,61897933.98,,,
RO,south-of-sahara,multilateral,2016,41573733.6,,,
RU,south-of-sahara,multilateral,2016,170060692.9,,,
SE,south-of-sahara,multilateral,2016,575123815.9,,,
SI,south-of-sahara,multilateral,2016,15859833.17,,,
SK,south-of-sahara,multilateral,2016,23122209.59,,,
TH,south-of-sahara,multilateral,2016,38599109.76,,,
TR,south-of-sahara,multilateral,2016,87791164.52,,,
TW,south-of-sahara,multilateral,2016,24086450.11,,,
US,south-of-sahara,multilateral,2016,2992087361,,,
all-donors-total,south-of-sahara,multilateral,2016,17676177667,,,
dac-countries-total,south-of-sahara,multilateral,2016,17007638255,,,
dac-eu-members-and-ec-total,south-of-sahara,multilateral,2016,0,,,
dac-eu-members-total,south-of-sahara,multilateral,2016,0,,,
g7-countries-total,south-of-sahara,multilateral,2016,0,,,
multilateral-total,south-of-sahara,multilateral,2016,0,,,
non-dac-countries-total,south-of-sahara,multilateral,2016,494903444.3,,,
AE,unspecified,multilateral,2016,20545784.92,,,
AT,unspecified,multilateral,2016,46304936.39,,,
AU,unspecified,multilateral,2016,113184619.4,,,
AZ,unspecified,multilateral,2016,0,,,
BE,unspecified,multilateral,2016,95919693.17,,,
BG,unspecified,multilateral,2016,14229014.91,,,
CA,unspecified,multilateral,2016,102623061.4,,,
CH,unspecified,multilateral,2016,82782163.65,,,
CZ,unspecified,multilateral,2016,17672089.18,,,
DE,unspecified,multilateral,2016,407717453.1,,,
DK,unspecified,multilateral,2016,89700801.96,,,
EE,unspecified,multilateral,2016,2653091.313,,,
ES,unspecified,multilateral,2016,121372943,,,
EU,unspecified,multilateral,2016,6592787.619,,,
FI,unspecified,multilateral,2016,47143888.67,,,
FR,unspecified,multilateral,2016,316777590.5,,,
GB,unspecified,multilateral,2016,457178112,,,
GR,unspecified,multilateral,2016,17031746.08,,,
HR,unspecified,multilateral,2016,3536075.196,,,
HU,unspecified,multilateral,2016,21001921.22,,,
IE,unspecified,multilateral,2016,48534663.25,,,
IL,unspecified,multilateral,2016,14712955.93,,,
IS,unspecified,multilateral,2016,1934850.837,,,
IT,unspecified,multilateral,2016,273634314.5,,,
JP,unspecified,multilateral,2016,249630140.1,,,
KR,unspecified,multilateral,2016,108161342,,,
KW,unspecified,multilateral,2016,0,,,
KZ,unspecified,multilateral,2016,2772999.588,,,
LI,unspecified,multilateral,2016,119764.9206,,,
LT,unspecified,multilateral,2016,5779854.403,,,
LU,unspecified,multilateral,2016,17156935.19,,,
LV,unspecified,multilateral,2016,2727937.368,,,
MT,unspecified,multilateral,2016,760217.7288,,,
NL,unspecified,multilateral,2016,163105108,,,
NO,unspecified,multilateral,2016,118148119.3,,,
NZ,unspecified,multilateral,2016,13069217.5,,,
PL,unspecified,multilateral,2016,66850753.74,,,
PT,unspecified,multilateral,2016,18241517.32,,,
RO,unspecified,multilateral,2016,22028149.25,,,
RU,unspecified,multilateral,2016,98998151.77,,,
SE,unspecified,multilateral,2016,170552686.3,,,
SI,unspecified,multilateral,2016,5254866.626,,,
SK,unspecified,multilateral,2016,6891411.804,,,
TH,unspecified,multilateral,2016,14771938.06,,,
TR,unspecified,multilateral,2016,28697331.3,,,
TW,unspecified,multilateral,2016,792000.5961,,,
US,unspecified,multilateral,2016,599676007.5,,,
all-donors-total,unspecified,multilateral,2016,4038714029,,,
